office,district,city_town,Ward,Pct,name_dem,name_gop,name_third_party,name_write_in,party_third_party,party_write_in,election_id,votes_dem,votes_gop,votes_third_party,votes_write_in,all_others,blanks,total_votes_cast
Governor,NA,Billerica,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,820,659,NA,NA,1,18,1532
Governor,NA,Billerica,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,738,693,NA,NA,2,9,1458
Governor,NA,Billerica,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,678,603,NA,NA,1,13,1313
Governor,NA,Billerica,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,922,848,NA,NA,2,19,1816
Governor,NA,Billerica,-,6,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,727,588,NA,NA,0,10,1342
Governor,NA,Billerica,-,7,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,807,540,NA,NA,3,12,1386
Governor,NA,Billerica,-,8,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,726,654,NA,NA,3,10,1419
Governor,NA,Billerica,-,9,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,755,786,NA,NA,0,17,1576
Governor,NA,Blackstone,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,469,498,NA,NA,0,4,982
Governor,NA,Blackstone,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,534,574,NA,NA,1,10,1129
Governor,NA,Blackstone,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,516,710,NA,NA,1,6,1256
Governor,NA,Blandford,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,234,358,NA,NA,0,0,618
Governor,NA,Bolton,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1893,899,NA,NA,4,28,2886
Governor,NA,Boston,1,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,578,142,NA,NA,1,7,739
Governor,NA,Boston,1,10,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,212,76,NA,NA,1,3,296
